"order_date","country","orders","utr","month","day","is_wknd"
2018-04-05,"Hong Kong",6032,4.23,"1804","Thursday","0"
2018-04-05,"Philippines",7433,3.8,"1804","Thursday","0"
2018-04-05,"Taiwan",4345,4.55,"1804","Thursday","0"
2018-04-05,"Thailand",6830,4.05,"1804","Thursday","0"
2018-04-05,"Malaysia",9269,3.83,"1804","Thursday","0"
2018-04-05,"Bangladesh",3927,3.69,"1804","Thursday","0"
2018-04-05,"Pakistan",11574,3.14,"1804","Thursday","0"
2018-04-05,"Singapore",13010,4.65,"1804","Thursday","0"
2018-04-06,"Bangladesh",4244,3.88,"1804","Friday","0"
2018-04-06,"Pakistan",12207,3.28,"1804","Friday","0"
2018-04-06,"Philippines",7572,3.9,"1804","Friday","0"
2018-04-06,"Taiwan",4310,5.15,"1804","Friday","0"
2018-04-06,"Thailand",7443,4.02,"1804","Friday","0"
2018-04-06,"Malaysia",9305,3.82,"1804","Friday","0"
2018-04-06,"Hong Kong",5036,3.94,"1804","Friday","0"
2018-04-06,"Singapore",13549,4.71,"1804","Friday","0"
2018-04-07,"Hong Kong",5757,4.1,"1804","Saturday","1"
2018-04-07,"Malaysia",9891,3.92,"1804","Saturday","1"
2018-04-07,"Philippines",8125,4,"1804","Saturday","1"
2018-04-07,"Taiwan",4635,5.13,"1804","Saturday","1"
2018-04-07,"Singapore",16768,4.85,"1804","Saturday","1"
2018-04-07,"Thailand",7443,3.95,"1804","Saturday","1"
2018-04-07,"Bangladesh",3940,3.7,"1804","Saturday","1"
2018-04-07,"Pakistan",13006,3.4,"1804","Saturday","1"
2018-04-08,"Philippines",8118,3.98,"1804","Sunday","1"
2018-04-08,"Malaysia",10153,4.06,"1804","Sunday","1"
2018-04-08,"Pakistan",13360,3.76,"1804","Sunday","1"
2018-04-08,"Thailand",7630,3.98,"1804","Sunday","1"
2018-04-08,"Taiwan",5004,4.86,"1804","Sunday","1"
2018-04-08,"Bangladesh",3670,3.77,"1804","Sunday","1"
2018-04-08,"Singapore",16832,4.83,"1804","Sunday","1"
2018-04-08,"Hong Kong",6447,4.29,"1804","Sunday","1"
2018-04-09,"Bangladesh",3654,3.71,"1804","Monday","0"
2018-04-09,"Philippines",7991,4.04,"1804","Monday","0"
2018-04-09,"Singapore",12531,4.83,"1804","Monday","0"
2018-04-09,"Malaysia",8895,3.86,"1804","Monday","0"
2018-04-09,"Hong Kong",4908,4.19,"1804","Monday","0"
2018-04-09,"Taiwan",3952,4.49,"1804","Monday","0"
2018-04-09,"Thailand",6717,3.99,"1804","Monday","0"
2018-04-09,"Pakistan",11315,3.35,"1804","Monday","0"
2018-04-10,"Philippines",7407,3.86,"1804","Tuesday","0"
2018-04-10,"Taiwan",4037,4.6,"1804","Tuesday","0"
2018-04-10,"Pakistan",11482,3.47,"1804","Tuesday","0"
2018-04-10,"Singapore",12547,4.69,"1804","Tuesday","0"
2018-04-10,"Thailand",6605,3.79,"1804","Tuesday","0"
2018-04-10,"Malaysia",8986,3.77,"1804","Tuesday","0"
2018-04-10,"Hong Kong",4983,4.06,"1804","Tuesday","0"
2018-04-10,"Bangladesh",3804,3.75,"1804","Tuesday","0"
2018-04-11,"Singapore",12759,4.62,"1804","Wednesday","0"
2018-04-11,"Hong Kong",5147,4.09,"1804","Wednesday","0"
2018-04-11,"Malaysia",8968,3.76,"1804","Wednesday","0"
2018-04-11,"Taiwan",4048,4.63,"1804","Wednesday","0"
2018-04-11,"Philippines",7455,3.87,"1804","Wednesday","0"
2018-04-11,"Thailand",6726,4.04,"1804","Wednesday","0"
2018-04-11,"Bangladesh",3805,3.75,"1804","Wednesday","0"
2018-04-11,"Pakistan",11347,3.42,"1804","Wednesday","0"
2018-04-12,"Hong Kong",5171,4.01,"1804","Thursday","0"
2018-04-12,"Bangladesh",3928,3.7,"1804","Thursday","0"
2018-04-12,"Philippines",7537,3.82,"1804","Thursday","0"
2018-04-12,"Taiwan",4357,4.91,"1804","Thursday","0"
2018-04-12,"Pakistan",11525,3.57,"1804","Thursday","0"
2018-04-12,"Thailand",6860,4.07,"1804","Thursday","0"
2018-04-12,"Malaysia",9166,3.85,"1804","Thursday","0"
2018-04-12,"Singapore",12942,4.68,"1804","Thursday","0"
2018-04-13,"Bangladesh",3948,3.67,"1804","Friday","0"
2018-04-13,"Philippines",7959,3.87,"1804","Friday","0"
2018-04-13,"Pakistan",12297,3.46,"1804","Friday","0"
2018-04-13,"Taiwan",4306,4.62,"1804","Friday","0"
