"month","country","mean_order_growth","dummy_Bangladesh","dummy_HK","dummy_Malaysia","dummy_Pakistan","dummy_Philippines","dummy_Taiwan","dummy_Thailand"
1805,"Bangladesh",7.45681080918112,1,0,0,0,0,0,0
1805,"Hong Kong",11.0745569299715,0,1,0,0,0,0,0
1805,"Malaysia",-0.573205808376111,0,0,1,0,0,0,0
1805,"Pakistan",-2.92145066691593,0,0,0,1,0,0,0
1805,"Philippines",3.75662392732351,0,0,0,0,1,0,0
1805,"Singapore",-0.425826636970039,0,0,0,0,0,0,0
1805,"Taiwan",21.1822322137175,0,0,0,0,0,1,0
1805,"Thailand",5.06471566908306,0,0,0,0,0,0,1
1806,"Bangladesh",2.47688005566894,1,0,0,0,0,0,0
1806,"Hong Kong",5.40899730038308,0,1,0,0,0,0,0
1806,"Malaysia",1.43240343347639,0,0,1,0,0,0,0
1806,"Pakistan",8.31980075357895,0,0,0,1,0,0,0
1806,"Philippines",4.42649511555873,0,0,0,0,1,0,0
1806,"Singapore",-0.07749855952767,0,0,0,0,0,0,0
1806,"Taiwan",17.8871611291345,0,0,0,0,0,1,0
1806,"Thailand",1.87458991233628,0,0,0,0,0,0,1
1807,"Bangladesh",11.8852927671345,1,0,0,0,0,0,0
1807,"Hong Kong",7.40928763799379,0,1,0,0,0,0,0
1807,"Malaysia",13.9455091730832,0,0,1,0,0,0,0
1807,"Pakistan",4.33015561306677,0,0,0,1,0,0,0
1807,"Philippines",-0.50150817517648,0,0,0,0,1,0,0
1807,"Singapore",2.79257146034055,0,0,0,0,0,0,0
1807,"Taiwan",17.1142449116991,0,0,0,0,0,1,0
1807,"Thailand",6.19387567246917,0,0,0,0,0,0,1
1808,"Bangladesh",1.6684377601646,1,0,0,0,0,0,0
1808,"Hong Kong",4.22739631781575,0,1,0,0,0,0,0
1808,"Malaysia",11.6127177496878,0,0,1,0,0,0,0
1808,"Pakistan",2.38861509389049,0,0,0,1,0,0,0
1808,"Philippines",5.50969241117839,0,0,0,0,1,0,0
1808,"Singapore",11.034129791994,0,0,0,0,0,0,0
1808,"Taiwan",9.38047738254146,0,0,0,0,0,1,0
1808,"Thailand",-1.94444661361738,0,0,0,0,0,0,1
1809,"Bangladesh",3.7158251668797,1,0,0,0,0,0,0
1809,"Hong Kong",-1.20211711019282,0,1,0,0,0,0,0
1809,"Malaysia",-3.81423198865949,0,0,1,0,0,0,0
1809,"Pakistan",-0.250290405508097,0,0,0,1,0,0,0
1809,"Philippines",6.89638393029634,0,0,0,0,1,0,0
1809,"Singapore",1.7729648490704,0,0,0,0,0,0,0
1809,"Taiwan",18.3126237086539,0,0,0,0,0,1,0
1809,"Thailand",4.95327859495993,0,0,0,0,0,0,1
1810,"Bangladesh",7.61446430695786,1,0,0,0,0,0,0
1810,"Hong Kong",5.90503461570964,0,1,0,0,0,0,0
1810,"Malaysia",2.54061605766794,0,0,1,0,0,0,0
1810,"Pakistan",0.870445642611048,0,0,0,1,0,0,0
